title,yr,director,awards,votes,release_year,Total_win,Total_Nominated
10 Things I Hate About You,1999,Gil Junger,2 wins & 13 nominations.,283945,1999,2,13
101 Dalmatian Street,2018,N/A,N/A,124,2019,0,0
101 Dalmatians,1996,Stephen Herek,Nominated for 1 Golden Globe. Another 3 wins & 9 nominations.,97785,1996,3,10
101 Dalmatians 2: Patch's London Adventure,2002,"Jim Kammerud, Brian Smith",5 wins & 10 nominations.,7434,2003,5,10
102 Dalmatians,2000,Kevin Lima,Nominated for 1 Oscar. Another 1 win & 7 nominations.,33444,2000,1,8
12 Dates of Christmas,2011,James Hayman,1 nomination.,4933,2011,0,1
"20,000 Leagues Under the Sea",1954,Richard Fleischer,Won 2 Oscars. Another 3 wins & 3 nominations.,27761,1955,5,3
A Bug's Life,0,"Animation, Adventure, Comedy, Family",USA,7,0,0,0
A Celebration of the Music from Coco,2020,Ron de Moraes,N/A,35,2020,0,0
A Goofy Movie,1995,Kevin Lima,5 nominations.,43655,1995,0,5
A Kid in King Arthur's Court,1995,Michael Gottlieb,1 nomination.,5479,1995,0,1
A Knight for a Day,1946,Jack Hannah,N/A,488,1946,0,0
A Ring of Endless Light,2002,Greg Beeman,2 wins & 1 nomination.,1042,2002,2,1
A Tale of Two Critters,1977,Jack Speirs,N/A,59,1977,0,0
A Wrinkle in Time,2018,Ava DuVernay,5 wins & 15 nominations.,38659,2018,5,15
Aladdin,2019,Guy Ritchie,7 wins & 32 nominations.,204537,2019,7,32
Aladdin,1992,"Ron Clements, John Musker",Won 2 Oscars. Another 31 wins & 22 nominations.,356283,1992,33,22
Aladdin and the King of Thieves,1996,Tad Stones,2 wins & 1 nomination.,31603,1996,2,1
Aladdin and the Return of Jafar,1994,"Toby Shelton, Tad Stones, Alan Zaslove",1 nomination.,25623,1994,0,1
Alice in Wonderland,1951,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",Nominated for 1 Oscar. Another 1 nomination.,123377,1951,0,2
Alice in Wonderland,2010,Tim Burton,Won 2 Oscars. Another 33 wins & 63 nominations.,371772,2010,35,63
Aliens of the Deep,2005,"James Cameron, Steven Quale",N/A,2586,2005,0,0
All in a Nutshell,1949,Jack Hannah,N/A,572,1949,0,0
Alley Cats Strike,2000,Rod Daniel,1 nomination.,1840,2000,0,1
Almost Angels,1962,Steve Previn,N/A,309,1962,0,0
America's Funniest Home Videos,1989,N/A,4 wins & 6 nominations.,4652,1989,4,6
America's Heart & Soul,2004,Louie Schwartzberg,1 win & 1 nomination.,557,2004,1,1
America's National Parks,2015,N/A,N/A,73,2015,0,0
